section_id,law_name,section_number,title,text
1,Indian Penal Code,Section 302,Punishment for murder,"Whoever commits murder shall be punished with death, or imprisonment for life, and shall also be liable to fine."
2,Indian Penal Code,Section 420,Cheating and dishonesty,Whoever cheats and thereby dishonestly induces the person deceived to deliver any property shall be punished with imprisonment and fine.
3,Code of Criminal Procedure,Section 161,Examination of witnesses by police,Police officer may examine witnesses acquainted with the facts and circumstances of the case.
4,Code of Criminal Procedure,Section 144,Power to issue order in urgent cases,Magistrate may issue order in urgent cases of nuisance or apprehended danger.
5,Indian Contract Act,Section 10,What agreements are contracts,"All agreements are contracts if they are made by free consent of parties competent to contract, for a lawful consideration and with a lawful object."
6,Indian Contract Act,Section 73,Compensation for loss,"When a contract has been broken, the party suffering by such breach is entitled to receive compensation for any loss caused by the breach."
7,Hindu Marriage Act,Section 13,Divorce,Any marriage may be dissolved by a decree of divorce on grounds specified in the Act.
8,Hindu Marriage Act,Section 5,Conditions for Hindu marriage,"A marriage may be solemnized between any two Hindus, if the conditions specified in the Act are fulfilled."
9,Companies Act,Section 149,Company members,The liability of the members of a company limited by shares shall be limited to the amount unpaid on the shares.
10,Companies Act,Section 447,Punishment for fraud,Any person guilty of fraud shall be punishable with imprisonment and fine.
11,Sexual Harassment Act,Section 354A,Sexual Harassment,Any person who sexually harass a women is found guilty
12,Indian penal code,Section 1,Title and extent of operation of the Code,"This section establishes the name of the code as the ""Indian Penal Code"" and defines its geographical scope of application within India."
13,Indian penal code,Section 2 ,Punishment of offences committed within India,This means if you commit a crime defined by the IPC within India's territory you will be punished according to the IPC
14,Indian penal code,Section 3,Punishment of offences committed beyond but which by law may be tried within India,This covers situations where Indian law allows for the trial of offenses committed outside India such as certain crimes committed by Indian citizens abroad
15,Indian penal code,Section 4,Extention of Code to extra-territorial offences,This section enables the Indian Government to prosecute crimes that have an impact on India even if they are commited outside of the geographical borders.
16,Indian penal code,Section 5,Certain laws not to be affected by this Act,This section clarifies that the IPC does not override specific military laws or other special or local laws that may exist
17,Indian penal code,Section 6,Definitions in the Code to be understood subject to exceptions,This means that all definitions and punishments in the IPC are subject to the general exceptions such as those related to insanity or self-defense. 
18,Indian penal code,Section 7,Sense of expression once explained,Once a term is defined in the IPC that definition applies consistently throughout the code.
19,Indian penal code,Section 8,Gender,This section clarifies that references to the masculine gender in the IPC also include the feminine gender.
20,Indian penal code,Section 9,Number,This means that singular and plural forms are interchangeable unless the context suggests otherwise.
21,Indian penal code,Section 10,Man Woman,"The word 'man' denotes a male human being of any age; the word 'woman' denotes a female human being of any age."" This provides basic definitions for these terms."
22,Indian penal code,Section 11,Person,The word 'person' includes any Company or Association or body of persons whether incorporated or not.
23,Indian penal code,Section 12,Public,The word 'public' includes any class of the public or any community.
24,Indian penal code,Section 13,Queen,This section is now obsolete. It refered to the British Queen and is no longer relevant in independent India.
25,Indian penal code,Section 14,Servant of Government,"This section defines ""servant of Government"" to include any officer or servant continued appointed or employed in India by or under the authority of Government. "
26,Indian penal code,Section 15,Definition of �India�,"This section defines ""India"" for the purposes of the IPC. It refers to the territory of India excluding the state of Jammu and Kashmir. However after the Jammu and Kashmir Reorganisation Act 2019 the definition of India in the IPC now includes the entire territory of India."
27,Indian penal code,Section 16,Government of India,"This section defines ""Government of India"" as referring to the Central Government."
28,Indian penal code,Section 17,Government,"This section defines ""Government"" as the Central Government or the Government of a State. This is important for understanding which government entities are being referenced in various IPC provisions"
